trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
103,False,"{'a': 0.5, 'e': 0.95}",30,0,-73.05612494041281,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.95}",30,0,-298.9858387004956,"{0: 14, 1: 3, 2: 7, 3: 1, 4: 5}",0
105,False,"{'a': 0.5, 'e': 0.95}",30,1,-64.95111853209774,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.95}",20,0,-71.09689759513086,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
107,False,"{'a': 0.5, 'e': 0.95}",25,0,-155.74125317427652,"{0: 15, 1: 3, 2: 2, 3: 3, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.95}",25,0,-62.45261542635862,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.95}",20,0,-180.66222780295308,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
110,False,"{'a': 0.5, 'e': 0.95}",20,13,3.482933575807733,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.95}",20,0,-87.97622230765748,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.95}",25,11,-86.31705384476783,"{0: 8, 1: 0, 2: 4, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.95}",30,0,-62.883589429862774,"{0: 19, 1: 6, 2: 4, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.95}",25,12,-38.46748232407473,"{0: 7, 1: 2, 2: 4, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.95}",20,0,-102.37288148783821,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
116,False,"{'a': 0.5, 'e': 0.95}",25,0,-46.36280309798401,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.95}",20,0,-151.86567713501984,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 4}",0
118,False,"{'a': 0.5, 'e': 0.95}",30,0,-145.3883167478532,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
